medicamento,descripcion,peso,presentacion,forma_farmacologica,marca,precio,max_price,precio descontado,descuento,promotion,fuente,scrapping_day,detail_url
kitoscell,Kitoscell Gel 10 g,,,,,287.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/kitoscell-gel-10-g.html
kitoscell,Kitoscell Gel 30 g,,,,,919.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/kitoscell-gel-30-g.html
kitoscell,Kitoscell Gel 90 g,,,,,2055.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/kitoscell-gel-90-g.html
kitoscell,Kitoscell Q 8/0.016 g Gel 40 g,,,,,972.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/kitoscell-q-8-0-016-g-gel-40-g.html
kitoscell,Kitoscell Derma Alta 3.5 g Gel,,,,,152.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/kitoscell-derma-alta-3-5-g-gel.html
kitoscell,Kitoscell Q 8 g Gel 10 g,,,,,311.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/kitoscell-q-8-g-gel-10-g.html
kitoscell,Kitoscell LP 600 mg Liberacion Prolongada Oral 90 Tabs,600 mg,90,tab,,13473.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/kitoscell-lp-600-mg-liberacion-prolongada-oral-90-tabs.html
seretide,Seretide Evoh 25 mcg/ 50 mcg Oral Aerosol 120 Dosis,25 mcg,120,dosis,,887.00,,,,Acumula 3 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/seretide-evoh-25-mcg-50-mcg-oral-aerosol-120-dosis.html
seretide,Seretide Disk 50 mcg/ 250 mcg Oral 60 Dosis,50 mcg,60,dosis,,967.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/seretide-disk-50-mcg-250-mcg-oral-60-dosis.html
seretide,Seretide Evoh 25 mcg/ 25o mcg Oral Aerosol 120 Dosis,25 mcg,120,dosis,,1071.00,,,,Acumula 3 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/seretide-evoh-25-mcg-25o-mcg-oral-aerosol-120-dosis.html
seretide,Seretide Disk 50 mcg /100 mcg Oral 60 Dosis,50 mcg,60,dosis,,937.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/seretide-disk-50-mcg-100-mcg-oral-60-dosis.html
seretide,Seretide Disk 50 mcg/ 500 mcg Oral 60 Dosis,50 mcg,60,dosis,,1147.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/seretide-disk-50-mcg-500-mcg-oral-60-dosis.html
